warn  0x4012812d
vwarnx  0x40128145
ether_aton_r  0x401281cb
ether_aton  0x40128211
ether_ntoa_r  0x4012821d
ether_ntoa  0x40128251
vfdprintf  0x40128277
fdprintf  0x401282a3
ftrylockfile  0x401282c7
fstatfs  0x40128323
ftime  0x4012832b
ftok  0x40128375
fts_set  0x40128ec9
fts_children  0x40128ee1
getdtablesize  0x40128f91
gethostname  0x40128fad
getpgrp  0x40129015
getpt  0x4012902d
if_indextoname  0x4012903d
ioctl  0x40129189
if_nametoindex  0x401290bd
initgroups  0x40129129
lseek64  0x401292f1
MD5_Init  0x40129319
MD5_Update  0x4012933d
MD5_Final  0x40129be1
memmem  0x40129c95
memswap  0x40129d2d
openat  0x40129d5d
__openat_2  0x40129d81
__open_2  0x40129dc9
pathconf  0x40129ded
statfs  0x4012a64b
fpathconf  0x40129ea5
perror  0x40129f5d
pread  0x40129fdd
pselect  0x40129fed
ptsname  0x4012a065
ptsname_r  0x4012a099
pututline  0x4012a11d
pwrite  0x4012a1e1
reboot  0x4012a1f1
recv  0x4012a205
__sched_cpualloc  0x4012a213
__sched_cpufree  0x401266b1
__popcountsi2  0x40137b24
__sched_cpucount  0x4012a21d
sched_getcpu  0x4012a23d
sem_init  0x4012a2c9
sem_destroy  0x4012a2f5
sem_open  0x4012a31d
sem_close  0x4012a333
sem_unlink  0x4012a34d
sem_wait  0x4012a35d
sem_timedwait  0x4012a399
sem_post  0x4012a451
sem_trywait  0x4012a4bd
sem_getvalue  0x4012a4e3
setegid  0x4012a513
seteuid  0x4012a51f
setpgrp  0x4012a537
setresuid  0x4012a53f
setreuid  0x4012a55b
setuid  0x4012a573
siginterrupt  0x4012a59d
sysv_signal  0x4012a5f3
sigsuspend  0x4012a613
sleep  0x4012a61f
strndup  0x4012a653
strntoimax  0x4012a67d
strntoumax  0x4012a681
strtotimeval  0x4012a78d
__system_property_set_filename  0x4012aa19
__system_property_area_init  0x4012aa45
__system_property_find  0x4012ac1d
__system_property_find_compat  0x4012af61
__system_property_read  0x4012ac59
__system_property_read_compat  0x4012afc5
__system_property_set  0x4012accd
__system_property_wait  0x4012adf1
__system_property_update  0x4012ae31
__system_property_add  0x4012ae8d
__system_property_serial  0x4010e0c7
__system_property_wait_any  0x4012aee9
__system_property_foreach  0x4012af0d
__system_property_foreach_compat  0x4012b009
__system_property_find_nth  0x4012af35
tcgetpgrp  0x4012b041
tcsetpgrp  0x4012b059
timegm64  0x4012b201
fake_localtime_r  0x4012b449
fake_gmtime_r  0x4012b479
timelocal64  0x4012b671
gmtime64_r  0x4012b679
localtime64_r  0x4012ba39
asctime64_r  0x4012bb21
ctime64_r  0x4012bb81
localtime64  0x4012bb99
gmtime64  0x4012bba5
asctime64  0x4012bbb1
ctime64  0x4012bbbd
umount  0x4012bbcb
unlockpt  0x4012bbd1
setutent  0x4012bc21
getutent  0x4012bc39
endutent  0x4012bc89
utmpname  0x4012bca1
wcscoll  0x4012bcd9
wcscmp  0x4013654d
__res_get_static  0x40130bed
__get_h_errno  0x40130bcd
__res_get_state  0x40130be1
__res_put_state  0x401101d9
dn_expand  0x4012d2d1
_getshort  0x4012d3e7
__res_dnok  0x4012d3c3
__p_class  0x4012dc1d
__p_type  0x4012dbb1
__res_hnok  0x4012d30d
__res_nsearch  0x4012f601
res_setiface  0x4012f0c5
res_setmark  0x4012f0e3
__res_nquery  0x4012f321
__hostalias  0x4010ee2f
nsdispatch  0x40131d51
gethostbyname  0x4012ce31
gethostbyname_r  0x4012ce75
android_gethostbynameforiface  0x4012ceaf
gethostbyname2  0x4012cee5
android_gethostbyaddrforiface_proxy  0x4012ceed
android_gethostbyaddrforiface_real  0x4012cf89
android_gethostbyaddrforiface  0x4012d06d
gethostbyaddr  0x4012d0bd
gethostent  0x4012d0c9
inet_nsap_addr  0x4012d0e1
inet_nsap_ntoa  0x4012d1b5
hstrerror  0x4012d221
herror  0x4012d24d
__ns_name_uncompress  0x4013476d
__dn_comp  0x4012d2ed
__ns_name_compress  0x401347bd
__dn_skipname  0x4012d2f1
__ns_name_skip  0x4013482b
__res_ownok  0x4012d371
__res_mailok  0x4012d38b
__putlong  0x4012d3db
__ns_put32  0x40134cd7
__putshort  0x4012d3df
__ns_put16  0x40134ccf
_getlong  0x4012d3e3
__ns_get32  0x40134cb7
__ns_get16  0x40134cad
res_init  0x4012d3ed
__res_randomid  0x4012ea1d
__res_vinit  0x4012eb91
__fp_nquery  0x4012d439
__res_pquery  0x4012e039
__fp_query  0x4012d475
__p_query  0x4012d481
res_mkquery  0x4012d499
